Name_1,Mod,Nc,Q,C,Fn,f1,mag1_1,f2,mu02,f3,mag3,f4,mu04,f5,mag5,mag1_2,mag2,mstar,dmean,type,t_1,incl,Dist,__T_,__F_
NGC1036,_dbar,2,5,BAR,ferrer2,,,,,,,0.179,19.167,,,13.048,13.46,8.994,11.2,S0-a,0.0,50.47,,10.0,1.0
NGC1051,_ndbar,3,5,BAR,ferrer2,,,,,,,0.027,22.253,,,13.075,13.463,9.269,15.9,SBm,8.8,64.52,15.9,7.0,0.5
NGC1073,_dbar,2,5,BAR,ferrer2,,,,,,,0.058,20.233,,,11.287,11.709,9.972,15.2,SBc,5.3,52.28,15.2,5.5,1.0
NGC1079,_bdbarfn,4,5,BAR,ferrer2,,,,,,,0.111,20.249,,,11.005,11.461,10.578,26.05,SABa,0.6,61.64,26.1,-1.0,0.25
NGC1087,_dbar,2,5,BAR,ferrer2,,,,,,,0.049,17.738,,,10.847,11.211,10.228,17.512,SABc,5.2,54.25,17.5,6.5,1.0
NGC1179,_dbarn,3,5,BAR,ferrer2,,,,,,,0.025,20.556,,,12.052,12.448,9.802,18.171,Sc,5.9,48.03,18.2,6.0,0.88
NGC1187,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.013,21.301,,,10.538,10.922,10.429,18.829,Sc,5.0,44.28,18.8,4.0,0.75
NGC1232,_bdbar,3,5,BAR,ferrer2,,,,,,,0.018,21.315,,,9.844,10.258,10.72,18.667,SABc,5.0,32.6,18.7,5.0,0.5
NGC1255,_dbar,2,5,BAR,ferrer2,,,,,,,0.026,18.999,,,11.163,11.542,10.291,21.506,SABb,4.0,58.81,21.5,6.0,1.0
NGC1258,_dbarfn,3,5,BAR,ferrer2,,,,,,,0.016,21.566,,,13.448,13.859,9.556,25.76,SABc,5.7,43.69,25.8,2.0,0.5
NGC1291,_bdbar,3,5,BAR,ferrer2,,,,,,,0.157,20.4,,,8.216,8.718,10.764,8.6,S0-a,0.1,29.41,8.6,-1.0,0.5
NGC1300,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.06,21.07,,,10.201,10.652,10.576,18.05,Sbc,4.0,61.81,18.1,3.0,1.0
NGC1302,_nbdbar,4,5,BAR,ferrer2,,,,,,,0.064,20.684,,,10.448,10.892,10.561,20.0,S0-a,0.1,25.92,,-1.0,0.5
NGC1306,_dbarn,3,5,BAR,ferrer2,,,,,,,0.23,19.329,,,12.954,13.306,9.859,30.55,Sb,2.8,57.64,,5.5,0.25
NGC1309,_dbarn,3,5,BAR,ferrer2,,,,,,,0.055,19.964,,,11.462,11.87,10.423,28.025,Sbc,3.9,20.84,28.0,4.0,0.25
NGC1310,_dbarn,3,5,BAR,ferrer2,,,,,,,0.02,20.02,,,12.376,12.772,9.836,21.96,Sc,5.0,42.74,22.0,5.5,0.75
NGC1313,_dbarn,3,5,BAR,ferrer2,,,,,,,0.083,21.174,,,9.387,9.649,9.442,3.951,SBcd,7.0,34.79,4.0,7.2,1.0
NGC1326,_bdbar,3,5,BAR,ferrer2,,,,,,,0.182,19.911,,,10.117,10.561,10.551,16.983,S0-a,-0.8,52.93,17.0,-1.0,0.5
