Name_1,Mod,Nc,Q,C,Fn,f1,mag1_1,f2,mu02,f3,mag3,f4,mu04,f5,mag5,mstar,dmean,type,t_1,incl,Dist,__T_,__F_
NGC3066,_dbarfn,3,5,BAR,ferrer2,,,,,,,0.085,19.289,,,10.109,32.4,SABb,4.0,18.64,,2.0,0.5
NGC3153,_dbar,2,5,BAR,ferrer2,,,,,,,0.072,20.531,,,10.101,39.6,Sc,5.9,60.64,,6.5,1.0
NGC3155,_dbarfn,3,5,BAR,ferrer2,,,,,,,0.053,18.77,,,10.171,51.4,Sbc,3.5,61.27,51.4,3.0,0.88
NGC3162,_dbarfn,3,5,BAR,ferrer2,,,,,,,0.04,19.749,,,10.287,26.66,SABc,4.6,37.09,26.7,4.5,0.0
NGC3166,_bdbar,3,5,BAR,ferrer2,,,,,,,0.259,18.766,,,10.898,22.0,S0-a,0.3,56.14,22.0,-1.0,0.75
NGC3206,_dbar,2,5,BAR,ferrer2,,,,,,,0.076,20.6,,,9.606,20.725,SBc,6.0,61.14,20.7,7.0,1.0
NGC3225,_dbar,2,5,BAR,ferrer2,,,,,,,0.032,19.76,,,10.064,39.529,Sc,5.8,64.95,39.5,5.5,0.25
NGC3254,_bdbar,3,5,BAR,ferrer2,,,,,,,0.074,20.251,,,10.575,32.154,Sbc,4.0,64.41,32.2,3.0,0.75
NGC3274,_dbar,2,5,BAR,ferrer2,,,,,,,0.082,21.338,,,9.056,13.129,Scd,6.6,61.62,13.1,9.0,0.0
NGC3319,_dbar,2,5,BAR,ferrer2,,,,,,,0.087,20.605,,,9.73,16.497,SBc,6.0,62.68,16.5,6.0,1.0
NGC3329,_dbarn,3,5,BAR,ferrer2,,,,,,,0.188,18.015,,,10.349,30.3,Sb,2.9,56.31,,1.0,0.0
NGC3346,_dbar,2,5,BAR,ferrer2,,,,,,,0.014,19.514,,,10.157,22.4,SBc,5.9,34.12,22.4,6.0,1.0
NGC3351,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.098,19.709,,,10.486,10.113,Sb,3.1,54.64,,1.0,1.0
NGC3353,_dbarfn,3,5,BAR,ferrer2,,,,,,,0.287,18.801,,,9.419,18.94,Sb,3.4,45.74,18.9,10.0,
